Chemical,MAE_ngmL,RMSE_ngmL,R2,Evaluation
Sulpiride,22.9751,41.656,-0.0171,train_reconstruction
Methylprednisolone,1.8798,2.2899,-0.2408,train_reconstruction
Prednisolone,1.8389,2.322,-0.1946,train_reconstruction
Troglitazone,2.3482,2.6732,-0.2179,train_reconstruction
Cyclosporin a,28.5082,33.8742,-1.5974,train_reconstruction
3-chloro-4-methylaniline,1.2085,1.9204,-0.0156,train_reconstruction
Famotidine,19.2984,58.4607,-0.0177,train_reconstruction
Omeprazole,1.782,1.999,-0.3678,train_reconstruction
Propofol,0.5526,0.732,-0.0405,train_reconstruction
Zileuton,3.2738,3.9522,-0.5555,train_reconstruction
Codeine,1.4608,2.4778,-0.0345,train_reconstruction
Ranitidine,1.4396,2.9567,-0.0245,train_reconstruction
Aminopyrine,1.5224,2.5815,-0.0414,train_reconstruction
Ketoconazole,0.4733,0.5305,-0.4633,train_reconstruction
Tacrine,1.1415,1.4174,-0.0653,train_reconstruction
