CAS,Chemical,Clint_ref_uL,Clint_p2_5,Clint_median,Clint_p97_5,AED_p2_5,AED_median,AED_p97_5,BER_p2_5,BER_median,BER_p97_5,Exposure_mg_kg_day
599-64-4,4-cumylphenol,27.2,24.724,32.717,43.985,0.592979,0.594721,0.596919,,,,
156-43-4,4-ethoxyaniline,13.8,10.119,26.299,51.807,2.889619,2.889619,2.891871,,,,
1987-50-4,4-heptylphenol,42.5,23.619,33.796,50.296,0.280363,0.286584,0.294755,,,,
33228-45-4,4-hexylanilline,440.0,21.587,34.097,53.702,4.117732,4.171915,4.257922,,,,
39905-57-2,4-hexyloxyanilline,79.3,23.951,31.924,44.472,1.656129,1.661168,1.667111,,,,
121-33-5,4-hydroxy-3-methoxybenzaldehyde,234.0,8.149,35.901,70.151,122.057912,122.057912,122.342062,,,,
68392-35-8,4-hydroxytamoxifen,16.0,13.731,18.633,24.823,2.070315,2.085788,2.107941,,,,
134-84-9,4-methylbenzophenone,118.0,30.139,55.974,141.815,1.572463,1.580344,1.591504,,,,
100-02-7,4-nitrophenol,14.0,20.773,34.3,57.35,0.896702,0.897352,0.898407,,,,
156-10-5,4-nitrosodiphenylamine,839.0,15.409,28.566,44.462,67.396854,67.456706,67.599651,,,,
84852-15-3,"4-nonylphenol, branched",104.0,15.985,27.231,44.868,1.310313,1.871111,2.874848,,,,
33228-44-3,4-pentylaniline,18.2,19.89,28.774,44.196,0.357965,0.359573,0.361631,,,,
2696-84-6,4-propylanilline,17.3,18.237,26.229,41.742,0.905882,0.906706,0.907677,,,,
769-92-6,4-tert-butylaniline,10.7,9.687,19.833,34.602,0.611278,0.612019,0.613836,,,,
3236-71-3,"4,4'-(9h-fluorene-9,9-diyl)diphenol",22.4,23.414,45.02,82.222,0.004808,0.006856,0.011031,,,,
13680-35-8,"4,4'-methylenebis(2,6-diethylaniline)",8.2,15.323,22.476,33.418,0.085834,0.087049,0.08878,,,,
101-77-9,"4,4'-methylenedianiline",3.37,3.219,6.485,11.762,0.597078,0.598458,0.601577,,,,
27955-94-8,"4,4',4''-ethane-1,1,1-triyltriphenol",30.8,18.247,29.897,50.8,0.746357,0.752648,0.76241,,,,
2835-95-2,5-amino-2-methylphenol,16.0,4.913,13.041,26.148,4.264411,4.264874,4.272697,,,,
105624-86-0,5hpp-33,47.0,14.797,21.025,38.417,0.899796,0.903855,0.907628,,,,
77-90-7,Acetyl tributyl citrate,261.0,22.873,52.021,140.968,5.748288,5.812563,5.942378,,,,
135158-54-2,Acibenzolar-s-methyl,863.0,29.881,51.004,125.415,23.194377,23.295733,23.416493,,,,
19774-82-4,Amiodarone hydrochloride,4.537,3.866,9.498,24.069,0.017932,0.039503,0.09142,,,,
41372-20-7,Apomorphine hydrochloride hydrate,17.4,6.182,22.911,92.27,2.550141,2.560243,2.596616,,,,
2465-27-2,Auramine hydrochloride,8.66,4.715,8.156,13.271,0.928924,0.932489,0.939238,,,,
35575-96-3,Azamethiphos,429.0,3.207,5.969,9.681,2408.838268,2411.279981,2416.765599,,,,
2390-60-5,Basic blue 7,3.21,4.995,8.305,13.495,0.003254,0.005015,0.008051,,,,
94-09-7,Benzocaine,132.0,13.571,36.485,63.658,48.749208,48.749208,48.793268,,,,
118-58-1,Benzyl salicylate,841.0,43.053,94.601,287.67,0.325984,0.481029,0.75763,,,,
