DTXSID,CAS,Compound,MW,logP,Fup,AC50_10pct_uM,SEEM_mg_kg_day,Clint_httk,Clint_GCN,Clint_RF,CL_httk,CL_GCN,CL_RF,AED_httk,AED_GCN,AED_RF,BER_httk,BER_GCN,BER_RF,BER_httk_ref,concern_httk,concern_GCN,concern_RF
DTXSID0034855,79241-46-6,Fluazifop-p-butyl,383.4,4.5,0.005,1.0,,234.4,8.8529,8.9966,1.488895,1.252633,1.255941,13.700218,11.526226,11.556667,,,,,no_data,no_data,no_data
DTXSID7032551,79622-59-6,Fluazinam,465.1,4.01,0.004357,0.41862821387355,,24.76,2.6172,11.9128,1.387568,0.849105,1.283794,6.48396,3.967779,5.999035,,,,,no_data,no_data,no_data
DTXSID2032398,131341-86-1,Fludioxonil,248.2,4.116,0.003583,1.0,,37.05,1.0574,19.6163,1.407331,0.453554,1.334082,8.383188,2.70173,7.946861,,,,,no_data,no_data,no_data
DTXSID2032552,142459-58-3,Flufenacet,363.3,3.2,0.1375,2.2664056276609,,29.0,2.8318,66.0045,1.496719,1.467065,1.498557,29.577028,28.991029,29.613344,,,,,no_data,no_data,no_data
DTXSID7032553,62924-70-3,Flumetralin,421.7,5.447,0.005,1.0,,0.0,19.3323,5.4331,0.0,1.375602,1.134835,0.0,13.922193,11.485439,,,,,no_data,no_data,no_data
DTXSID4032615,98967-40-9,Flumetsulam,325.3,1.61,0.01727,1.0,,7.521,0.0625,2.2749,1.405417,0.164863,1.226999,10.972375,1.287121,9.579429,,,,,no_data,no_data,no_data
DTXSID7032555,103361-09-7,Flumioxazin,354.3,2.549,0.02807,1.0,,8.336,21.1037,2.041,1.445982,1.478188,1.301432,12.295476,12.569325,11.066334,,,,,no_data,no_data,no_data
DTXSID8020628,2164-17-2,Fluometuron,232.2,2.421,0.2589,1.0,,10.06,31.3083,3.2571,1.494983,1.498384,1.484611,8.331239,8.350195,8.273438,,,,,no_data,no_data,no_data
DTXSID2034625,361377-29-9,Fluoxastrobin,458.8,4.011,0.0362,1.0,,16.35,1.0992,12.7174,1.478169,1.229832,1.47205,16.276416,13.541923,16.209032,,,,,no_data,no_data,no_data
DTXSID2034627,69377-81-7,Fluroxypyr,255.0,1.677,0.09194,1.0,,1.791,4.6371,36.3936,1.424386,1.469863,1.496092,8.717243,8.995562,9.15608,,,,,no_data,no_data,no_data
