"Compound","CAS","DTXSID","logP","MW","pKa_Accept","pKa_Donor","Human.Clint","Human.Clint.pValue","Human.Funbound.plasma","Human.Rblood2plasma","MW_num","logP_num","Fup_num","Rblood2plasma_num","Clint_native","Clint_rf","needs_clint_impute","Clint_used","Clint_source","n_tc_assays","AC50_5pct_uM","AC50_med_uM","AC50_source","Exposure_median_mg_kg_day","Exposure_l95_mg_kg_day","Exposure_u95_mg_kg_day","Exposure_source","Exposure_pathway"
"Dimethyl phthalate","131-11-3","DTXSID3022455",1.584,194.2," "," ",0,0.2039,0.656,NA,194.2,1.584,0.656,NA,0,10.677148859427,TRUE,10.677148859427,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Diniconazole","83657-24-3","DTXSID2040363",4.297,326.2,"1.58","13.7",0,0.09297,0.01947,NA,326.2,4.297,0.01947,NA,0,7.8708143871224,TRUE,7.8708143871224,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Diphenylamine","122-39-4","DTXSID4021975",3.499,169.2,"0.78"," ",64.57,0.02646,0.003875,NA,169.2,3.499,0.003875,NA,64.57,57.7833959451659,FALSE,64.57,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Dithiopyr","97886-45-8","DTXSID9032379",4.749,401.4," "," ",13.25,4.24e-05,0.005,NA,401.4,4.749,0.005,NA,13.25,23.528290412761,FALSE,13.25,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Diuron","330-54-1","DTXSID0020446",2.678,233.1," ","13.2",12.15,0.00231,0.1615,NA,233.1,2.678,0.1615,NA,12.15,8.7460945259988,FALSE,12.15,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Emamectin benzoate","155569-91-8","DTXSID0034566",5,1008,"9.34","12.6,13.7",0,0.1978,0.001379,NA,1008,5,0.001379,NA,0,17.1216032427634,TRUE,17.1216032427634,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Endosulfan","115-29-7","DTXSID1020560",3.828,406.9," "," ",0,0.1142,0.11,0.8364,406.9,3.828,0.11,0.8364,0,8.65780110969508,TRUE,8.65780110969508,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Eptc","759-94-4","DTXSID1024091",3.21,189.3," "," ",80.36,1.46e-06,0.005,NA,189.3,3.21,0.005,NA,80.36,35.6603715529329,FALSE,80.36,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Esfenvalerate","66230-04-4","DTXSID4032667",6.2,419.9," ","10.6",0,0.9779,3.58e-08,NA,419.9,6.2,3.58e-08,NA,0,10.8152821494586,TRUE,10.8152821494586,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Ethalfluralin","55283-68-6","DTXSID8032386",5.11,333.3," "," ",0,0.5052,0.005,NA,333.3,5.11,0.005,NA,0,26.1285588348751,TRUE,26.1285588348751,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Ethametsulfuron methyl","97780-06-8","DTXSID9034573",1.59,410.4," ","3.46,14.8",0,0.2579,0.01566,NA,410.4,1.59,0.01566,NA,0,2.85283625819446,TRUE,2.85283625819446,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Ethofumesate","26225-79-6","DTXSID8034580",2.703,286.3," "," ",17.64,6.13e-05,0.1313,NA,286.3,2.703,0.1313,NA,17.64,16.5317507988063,FALSE,17.64,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Ethoprop","13194-48-4","DTXSID4032611",3.588,242.3," "," ",20.95,1.87e-07,0.09346,NA,242.3,3.588,0.09346,NA,20.95,22.252615393375,FALSE,20.95,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Etoxazole","153233-91-1","DTXSID8034586",3.762,359.4,"0.74"," ",18.48,0.01634,0.005,NA,359.4,3.762,0.005,NA,18.48,40.3608887676735,FALSE,18.48,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Etridiazole","2593-15-9","DTXSID3032547",3.368,247.5," "," ",127,0.002858,0.005,NA,247.5,3.368,0.005,NA,127,39.9028678694209,FALSE,127,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenamidone","161326-34-7","DTXSID2034590",2.747,311.4,"0.98"," ",17.74,9.21e-11,0.02436,NA,311.4,2.747,0.02436,NA,17.74,16.7500993515434,FALSE,17.74,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenamiphos","22224-92-6","DTXSID3024102",3.23,303.4," ","10.5",62.11,0.007627,0.04138,NA,303.4,3.23,0.04138,NA,62.11,30.5039582637843,FALSE,62.11,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenarimol","60168-88-9","DTXSID2032390",3.59,331.2,"1.04","12.1",3.788,0.007804,0.03671,NA,331.2,3.59,0.03671,NA,3.788,9.12919593104727,FALSE,3.788,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenbuconazole","114369-43-6","DTXSID8032548",3.229,336.8,"2.27"," ",21.7,0,0.0188,NA,336.8,3.229,0.0188,NA,21.7,13.0109148865955,FALSE,21.7,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenhexamid","126833-17-8","DTXSID3032549",3.513,302.2," ","7.4,13.3",35.27,9.38e-12,0.05719,NA,302.2,3.513,0.05719,NA,35.27,24.9119950843099,FALSE,35.27,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenitrothion","122-14-5","DTXSID4032613",3.301,277.2," "," ",10.02,1.36e-05,0.005,NA,277.2,3.301,0.005,NA,10.02,37.3256264619065,FALSE,10.02,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenoxaprop-ethyl","66441-23-4","DTXSID2032392",4.579,361.8," "," ",0,0.2419,0.005,NA,361.8,4.579,0.005,NA,0,139.606182732194,TRUE,139.606182732194,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenoxycarb","72490-01-8","DTXSID7032393",4.297,301.3," ","13.9",23.1,0.006933,0.00327,NA,301.3,4.297,0.00327,NA,23.1,20.9942805600285,FALSE,23.1,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fenthion","55-38-9","DTXSID8020620",4.09,278.3," "," ",87.2,3.71e-07,0.02203,NA,278.3,4.09,0.02203,NA,87.2,49.030753768382,FALSE,87.2,"httk_measured",0,1,1,"default_1uM",NA,NA,NA,NA,NA
"Fipronil","120068-37-3","DTXSID4034609",3.998,437.1,"0.18"," ",0,0.2779,0.0461,NA,437.1,3.998,0.0461,NA,0,3.62087088451451,TRUE,3.62087088451451,"RF_imputed_chem.physical_and_invitro.data",0,1,1,"default_1uM",NA,NA,NA,NA,NA
