CAS,SMILES
121-00-6,COc1ccc(O)c(c1)C(C)(C)C
60-80-0,CN1N(C(=O)C=C1C)c2ccccc2
123122-55-4,COCCOC[C@H](CC1(CCCC1)C(=O)NC2CCC(CC2)C(O)=O)C(=O)Oc3ccc4CCCc4c3
124-94-7,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO
58-55-9,CN1C(=O)N(C)c2nc[nH]c2C1=O
127308-82-1,C1C[C@H](CN(C1)CCc2ccc3OCOc3c2)OC(c4ccccc4)c5ccccc5
128-39-2,CC(C)(C)c1cccc(c1O)C(C)(C)C
129-00-0,c1cc2ccc3cccc4ccc(c1)c2c34
131-17-9,C=CCOC(=O)c1ccccc1C(=O)OCC=C
13311-84-7,CC(C)C(=O)Nc1ccc(c(c1)C(F)(F)F)[N+]([O-])=O
57-63-6,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@]2(O)C#C
139290-65-6,COc1cccc(C(O)C2CCN(CC2)CCc3ccc(F)cc3)c1OC
140-66-9,CC(C)(C)CC(C)(C)c1ccc(O)cc1
1445-75-6,CC(C)O[P](C)(=O)OC(C)C
145742-28-5,COc1ccc(OC(F)(F)F)cc1CN2CCC[C@H](N)[C@@H]2c3ccccc3
147-24-0,[H+].[Cl-].CN(C)CCOC(c1ccccc1)c2ccccc2
148-24-3,Oc1cccc2cccnc12
150-68-5,CN(C)C(=O)Nc1ccc(Cl)cc1
15310-01-7,Ic1ccccc1C(=O)Nc2ccccc2
1563-66-2,CNC(=O)Oc1cccc2CC(C)(C)Oc12
1806-26-4,CCCCCCCCc1ccc(O)cc1
1843-05-6,CCCCCCCCOc1ccc(c(O)c1)C(=O)c2ccccc2
1861-32-1,COC(=O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)C(=O)OC
1929-77-7,CCCSC(=O)N(CCC)CCC
2058-46-0,[Cl-].CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)c4c(O)cccc4[C@@]3(C)O)C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O.[H+]
205-99-2,c1ccc2c(c1)cc3c4ccccc4c5cccc2c35
206-44-0,c1ccc2c(c1)c3cccc4cccc2c34
2243-62-1,Nc1cccc2c(N)cccc12
24602-86-6,CCCCCCCCCCCCCN1CC(C)OC(C)C1
2528-16-7,[Ca++].[O-]C(=O)c1ccccc1C(=O)OCc2ccccc2
2634-33-5,O=C1NSc2ccccc12
298-02-2,CCO[P](=S)(OCC)SCSCC
30516-87-1,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](CO)O2)C(=O)NC1=O
3147-75-9,CC(C)(C)CC(C)(C)c1ccc(O)c(c1)n2nc3ccccc3n2
35256-85-0,CC(C)N(Cc1ccccc1)C(=O)C(C)(C)C
3739-38-6,[O-]C(=O)c1cccc(Oc2ccccc2)c1
