CAS,Compound,MW,logP,Fup,Clint,Clint_final,Clint_source
51384-51-1,Metoprolol,267.4,1.881,0.883,6.231,6.231,httk_measured
60-80-0,Antipyrine,188.2,0.3107,0.97,0.5062,0.5062,httk_measured
62-44-2,Phenacetin,179.2,1.58,0.6,9.346,9.346,httk_measured
58-55-9,Theophylline,180.2,-0.02058,0.61,0.7788,0.7788,httk_measured
604-75-1,Oxazepam,286.7,2.239,0.04,3.271,3.271,httk_measured
83-43-2,Methylprednisolone,374.5,1.721,0.23,5.452,5.452,httk_measured
50-24-8,Prednisolone,360.4,1.62,0.25,5.841,5.841,httk_measured
97322-87-7,Troglitazone,441.5,4.36,0.000941,21.85,21.85,httk_measured
59865-13-3,Cyclosporin a,1203.0,2.92,1e-06,8.591,8.591,httk_measured
73590-58-6,Omeprazole,345.4,2.231,0.16,3.271,3.271,httk_measured
2078-54-8,Propofol,178.3,3.791,0.016,107.0,107.0,httk_measured
111406-87-2,Zileuton,236.3,0.1828,0.07,2.298,2.298,httk_measured
76-57-3,Codeine,299.4,1.14,1.0,24.53,24.53,httk_measured
66357-35-5,Ranitidine,314.4,0.2691,0.95,1.324,1.324,httk_measured
58-15-1,Aminopyrine,231.3,0.9955,1.0,4.1,4.1,httk_measured
65277-42-1,Ketoconazole,531.4,4.348,0.062,55.0,55.0,httk_measured
321-64-2,Tacrine,198.3,2.707,1.0,1000.0,1000.0,httk_measured
54-11-5,Nicotine,162.2,1.171,0.406,4.44,4.44,httk_measured
99-66-1,Valproic acid,144.2,2.748,0.214,0.4366,0.4366,httk_measured
55-98-1,Busulphan,246.3,-0.5186,1.0,1.39,1.39,httk_measured
305-03-3,Chlorambucil,304.2,1.707,0.01,44.0,44.0,httk_measured
56-75-7,Chloramphenicol,323.1,1.139,0.34,0.723,0.723,httk_measured
85721-33-1,Ciprofloxacin,331.3,0.2801,0.7,4.17,4.17,httk_measured
64-86-8,Colchicine,399.4,1.3,0.61,0.698,0.698,httk_measured
89-25-8,Edaravone,174.2,1.783,0.89,2.0,2.0,httk_measured
50-28-2,Estradiol,272.4,3.909,4.95e-06,56.9,56.9,httk_measured
98319-26-7,Finasteride,372.6,3.03,0.095,4.5,4.5,httk_measured
29094-61-9,Glipizide,445.5,1.91,0.02,1.597,1.597,httk_measured
10238-21-8,Glyburide,494.0,1.786,0.021,6.62,6.62,httk_measured
53-86-1,Indomethacin,357.8,4.267,0.0103,9.35,9.35,httk_measured
54-85-3,Isoniazide,137.1,-0.6985,1.0,1.11,1.11,httk_measured
797-63-7,Levonorgestrel,312.5,3.067,0.0369,9.89,9.89,httk_measured
443-48-1,Metronidazole,171.2,-0.02363,0.96,3.0,3.0,httk_measured
84371-65-3,Mifepristone,429.6,4.814,0.0167,33.2,33.2,httk_measured
57-47-6,Physostigmine,275.4,1.58,0.64,1.64,1.64,httk_measured
117-39-5,Quercetin,302.2,1.24,0.0176,75.2,75.2,httk_measured
50-35-1,Thalidomide,258.2,0.3288,0.4,4.0,4.0,httk_measured
134308-13-7,Tolcapone,273.2,2.798,0.0133,22.0,22.0,httk_measured
76-25-5,Triamcinolone acetonide,434.5,2.531,0.2,9.0,9.0,httk_measured
125-84-8,Aminoglutethimide,232.3,-1.471,0.563,0.723,0.723,httk_measured
66-81-9,Cycloheximide,281.4,0.5478,0.629,1.74,1.74,httk_measured
84-66-2,Diethylphthalate,222.2,2.444,0.19,42.5,42.5,httk_measured
39515-41-8,Fenpropathrin,349.4,5.698,0.00458,19.7,19.7,httk_measured
67614-33-9,Fenvalerate,419.9,6.2,0.005,0.766,0.766,httk_measured
389-08-2,Nalidixic_acid,232.2,1.59,0.749,1.1,1.1,httk_measured
57-24-9,Strychnine,334.4,1.929,0.457,2.0,2.0,httk_measured
84-74-2,Dibutylphthalate,278.3,4.609,0.028,42.5,42.5,httk_measured
25812-30-0,Gemfibrozil,250.3,4.431,0.03,52.18,52.18,httk_measured
486-66-8,Daidzein,254.2,3.243,0.0553,15.4,15.4,httk_measured
520-18-3,Kaempferol,286.2,2.158,0.02973,95.7,95.7,httk_measured
17924-92-4,Zearalenone,318.4,3.745,0.004899,209.0,209.0,httk_measured
521-18-6,5alpha-dihydrotestosterone,290.4,3.551,0.0313,70.7,70.7,httk_measured
520-36-5,Apigenin,270.2,3.02,9.57e-05,138.0,138.0,httk_measured
512-56-1,Trimethyl phosphate,140.1,-0.6486,1.084,3.43,3.43,httk_measured
500-38-9,Nordihydroguaiaretic acid,302.4,3.091,1e-06,270.0,270.0,httk_measured
2467-02-9,"2,2'-bisphenol f",200.2,3.4,0.041,83.5,83.5,httk_measured
5153-25-3,2-ethylhexylparaben,250.3,4.101,0.01318,128.0,128.0,httk_measured
